id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,link,description,product_image
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Sahara Team India Fanwear Round Neck Jersey,https://assets.myntassets.com/v1/images/style/properties/Nike-Sahara-Team-India-Fanwear-Round-Neck-Jersey_2d27392cc7d7730e8fee0755fd41d30c_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1163.jpg
1164,Men,Apparel,Topwear,Tshirts,Blue,Winter,2015,Sports,Nike Men Blue T20 Indian Cricket Jersey,https://assets.myntassets.com/v1/images/style/properties/Nike-Men-Blue-T20-Indian-Cricket-Jersey_12975d4d66eefad43ba02dea5787cce4_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1164.jpg
1165,Men,Apparel,Topwear,Tshirts,Blue,Summer,2013,Sports,Nike Mean Team India Cricket Jersey,https://assets.myntassets.com/assets/images/1165/2018/2/28/11519814282010-Nike-Mean-Team-India-Cricket-Jersey-6241519814281812-1.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1165.jpg
1525,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010,Casual,Puma Deck Navy Blue Backpack,https://assets.myntassets.com/v1/images/style/properties/dd1e2ebbe2712f298db549d0962b9aa2_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1525.jpg
1526,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010,Sports,Puma Big Cat Backpack Black,https://assets.myntassets.com/v1/images/style/properties/6c920a7a479c59fa361548c0d1f74f9d_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1526.jpg
1528,Men,Apparel,Topwear,Jackets,Black,Fall,2010,Sports,Puma Men Ferrari Black Fleece Jacket,https://assets.myntassets.com/v1/images/style/properties/5217707cfecada95eca6fa33a88cc833_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1528.jpg
1529,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Casual,Ferrari Tee,https://assets.myntassets.com/v1/images/style/properties/aa0b42f2cdd16107a56b7190b4a1f542_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1529.jpg
1530,Men,Apparel,Topwear,Jackets,Red,Fall,2010,Sports,Puma Men Ferrari Track Jacket,https://assets.myntassets.com/v1/images/style/properties/470f495a596697306cc22fe87b8c5916_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1530.jpg
1531,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Solid Round Neck T-Shirt,https://assets.myntassets.com/v1/images/style/properties/6646ae2e4751cf5b135c233ad900f333_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1531.jpg
1532,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Casual,Puma Men Grey Leaping Cat T-shirt,https://assets.myntassets.com/v1/images/style/properties/5fd41c8046d45cbdc8b3b9690a6fd6be_images.jpg,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Esse sit recusandae, veniam ipsa repellendus qui. Deserunt quisquam nobis beatae dignissimos ipsam aliquam ad facilis possimus similique accusantium vel adipisci eveniet maiores temporibus laboriosam, sunt numquam asperiores molestias nihil sequi aut commodi, eligendi officiis? Saepe illo, amet perspiciatis, officiis ut quo laborum eveniet aliquid minus, modi ipsum quia id incidunt magni vel. Possimus quia praesentium harum. At pariatur exercitationem, sint molestias soluta nostrum praesentium sapiente perferendis nihil optio, repellat vero dolore ratione facere tempore voluptate assumenda illum officiis fugiat labore corporis ullam! In ad error tempore, facere adipisci autem repellendus aliquid enim quaerat tempora? Quae sequi accusamus nemo totam quidem iure eveniet neque odit pariatur dolorem minima, suscipit consequatur, nostrum optio reprehenderit repellendus ea!",productimg/1532.jpg
